project_id,mp_id,constituency,state,district,category,description,sanctioned_amount,expenditure,unit_cost_basis,status,recommendation_date,sanction_date,implementing_agency,marked_complete_by_ia,contractor_id,site_latitude,site_longitude,photo_latitude,photo_longitude,is_seeded_anomalous,seeded_anomaly_types
PRJ00221,MP006,West-18,West Bengal,West District 2,Drainage System,"Drainage System at West District 2, Ward 14",2898566.56,2883706.55,2898566.56,Work In Progress,2025-06-04,2025-07-21,Zilla Parishad PWD Division,False,CTR0035,22.818997,87.674179,22.818997,87.674179,False,
PRJ00222,MP006,West-18,West Bengal,West District 2,Drinking Water Supply,"Drinking Water Supply at West District 2, Ward 11",532462.31,469847.79,532462.31,Work In Progress,2026-04-11,2026-04-30,Public Works Department (PWD),False,CTR0096,23.043506,88.080241,23.043506,88.080241,False,
PRJ00223,MP006,West-18,West Bengal,West District 2,Borewell / Handpump,"Borewell / Handpump at West District 2, Ward 17",290805.63,249721.94,290805.63,Completed,2024-11-23,2025-02-19,Zilla Parishad PWD Division,True,CTR0064,23.49384,87.369337,23.49384,87.369337,False,
PRJ00224,MP006,West-18,West Bengal,West District 2,School Building Repair,"School Building Repair at West District 2, Ward 3",456048.86,408387.78,456048.86,Sanctioned,2026-05-19,2026-07-11,Public Works Department (PWD),False,CTR0103,22.421255,88.130594,22.421255,88.130594,False,
PRJ00225,MP006,West-18,West Bengal,West District 2,Drinking Water Supply,"Drinking Water Supply at West District 2, Ward 18",2492733.08,2348859.79,2492733.08,Completed,2025-05-19,2025-07-04,Municipal Corporation Engineering Cell,True,CTR0078,22.667504,88.048675,22.667504,88.048675,False,
PRJ00226,MP006,West-18,West Bengal,West District 2,School Building Repair,"School Building Repair at West District 2, Ward 22",1795887.59,1578932.47,1795887.59,Work In Progress,2024-08-27,2024-11-05,Zilla Parishad PWD Division,False,CTR0042,22.741311,87.796956,22.741311,87.796956,False,
PRJ00227,MP006,West-18,West Bengal,West District 2,School Building Repair,"School Building Repair at West District 2, Ward 15",1584748.81,1445961.42,1584748.81,Completed,2024-12-04,2024-12-29,Cantonment Board Works Wing,True,CTR0010,22.323031,87.611776,22.388095131041208,87.56092754577493,True,geo_mismatch
PRJ00228,MP006,West-18,West Bengal,West District 2,Drainage System,"Drainage System at West District 2, Ward 20",2933652.83,2915864.61,2933652.83,Work In Progress,2025-04-29,2025-06-17,Zilla Parishad PWD Division,False,CTR0058,22.885425,87.431683,22.885425,87.431683,False,
PRJ00229,MP006,West-18,West Bengal,West District 2,Drinking Water Supply,"Drinking Water Supply at West District 2, Ward 3",2157585.58,2040956.6,2157585.58,Completed,2025-07-02,2025-08-14,District Rural Development Agency,True,CTR0009,22.689611,88.184828,22.775116,88.302453,True,phantom_work
PRJ00230,MP006,West-18,West Bengal,West District 2,Drinking Water Supply,"Drinking Water Supply at West District 2, Ward 22",2031187.45,1936168.92,2031187.45,Completed,2024-10-09,2024-10-26,Cantonment Board Works Wing,True,CTR0047,22.825124,87.605605,22.825124,87.605605,False,
PRJ00231,MP006,West-18,West Bengal,West District 2,Borewell / Handpump,"Borewell / Handpump at West District 2, Ward 22",204598.92,194144.54,204598.92,Work In Progress,2025-04-06,2025-04-25,Panchayati Raj Engineering Department,False,CTR0004,23.374141,88.064004,23.374141,88.064004,False,
PRJ00232,MP006,West-18,West Bengal,West District 2,Public Toilet Complex,"Public Toilet Complex at West District 2, Ward 25",694328.42,666982.34,694328.42,Sanctioned,2026-07-06,2026-07-27,Municipal Corporation Engineering Cell,False,CTR0005,22.914666,88.116273,22.914666,88.116273,False,
PRJ00233,MP006,West-18,West Bengal,West District 2,Drainage System,"Drainage System at West District 2, Ward 2",2219889.32,2169864.9,2219889.32,Completed,2025-10-14,2025-11-20,Panchayati Raj Engineering Department,True,CTR0012,23.447802,88.18501,23.496213,88.090569,True,phantom_work
PRJ00234,MP006,West-18,West Bengal,West District 2,Library / Reading Room,"Library / Reading Room at West District 2, Ward 12",327914.34,316324.51,327914.34,Work In Progress,2026-03-30,2026-06-25,Zilla Parishad PWD Division,False,CTR0020,22.618056,87.325134,22.618056,87.325134,False,
PRJ00235,MP006,West-18,West Bengal,West District 2,Public Toilet Complex,"Public Toilet Complex at West District 2, Ward 17",460217.02,434306.58,460217.02,Sanctioned,2026-03-24,2026-05-24,Municipal Corporation Engineering Cell,False,CTR0098,22.758328,87.546825,22.758328,87.546825,False,
PRJ00236,MP006,West-18,West Bengal,West District 2,Drainage System,"Drainage System at West District 2, Ward 8",2380242.9,2212543.65,2380242.9,Payment Released,2024-10-24,2024-11-29,Zilla Parishad PWD Division,False,CTR0051,22.350341,88.462187,22.350341,88.462187,False,
PRJ00237,MP006,West-18,West Bengal,West District 2,Community Hall,"Community Hall at West District 2, Ward 17",5895845.71,5526549.98,5895845.71,Completed,2025-02-26,2025-03-22,Public Works Department (PWD),True,CTR0004,23.197688,88.274124,23.197688,88.274124,False,
PRJ00238,MP006,West-18,West Bengal,West District 2,Drinking Water Supply,"Drinking Water Supply at West District 2, Ward 25",2341784.01,2121246.63,2341784.01,Completed,2025-01-31,2025-04-26,Zilla Parishad PWD Division,True,CTR0117,22.818492,87.827286,22.818492,87.827286,False,
PRJ00239,MP006,West-18,West Bengal,West District 2,School Building Repair,"School Building Repair at West District 2, Ward 10",418702.48,411600.75,418702.48,Completed,2024-08-28,2024-11-15,Panchayati Raj Engineering Department,True,CTR0091,23.074973,87.643088,23.074973,87.643088,False,
PRJ00240,MP006,West-18,West Bengal,West District 2,Public Toilet Complex,"Public Toilet Complex at West District 2, Ward 15",1114872.86,1073908.29,1114872.86,Work In Progress,2024-11-12,2025-01-24,District Rural Development Agency,False,CTR0026,22.852647,88.310398,22.852647,88.310398,False,
PRJ00241,MP007,Bihar-22,Bihar,Bihar District 1,Public Toilet Complex,"Public Toilet Complex at Bihar District 1, Ward 22",838969.93,781713.62,838969.93,Work In Progress,2026-06-29,2026-07-26,Zilla Parishad PWD Division,False,CTR0012,26.181604,85.624866,26.181604,85.624866,False,
PRJ00242,MP007,Bihar-22,Bihar,Bihar District 1,Drainage System,"Drainage System at Bihar District 1, Ward 10",612254.13,595519.87,612254.13,Work In Progress,2024-08-18,2024-10-26,Panchayati Raj Engineering Department,False,CTR0091,25.256214,85.107023,25.256214,85.107023,False,
PRJ00243,MP007,Bihar-22,Bihar,Bihar District 1,School Building Repair,"School Building Repair at Bihar District 1, Ward 23",1176026.97,1089299.78,1176026.97,Payment Released,2024-12-06,2025-02-24,Cantonment Board Works Wing,False,CTR0109,25.357058,85.178026,25.357058,85.178026,False,
PRJ00244,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 4",251798.67,220074.74,251798.67,Work In Progress,2025-12-06,2026-02-13,Municipal Corporation Engineering Cell,False,CTR0102,25.553869,84.511198,25.553869,84.511198,False,
PRJ00245,MP007,Bihar-22,Bihar,Bihar District 1,Street Lighting,"Street Lighting at Bihar District 1, Ward 1",1791786.09,1811367.72,1791786.09,Work In Progress,2024-11-20,2025-01-20,Public Works Department (PWD),False,CTR0102,25.244843,85.166102,25.244843,85.166102,True,cost_inflation
PRJ00246,MP007,Bihar-22,Bihar,Bihar District 1,Drainage System,"Drainage System at Bihar District 1, Ward 18",1774122.91,1623125.19,1774122.91,Completed,2024-06-12,2024-07-24,Public Works Department (PWD),True,CTR0018,25.894881,84.742977,25.836562,84.855972,True,phantom_work
PRJ00247,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 10",179443.57,171962.69,179443.57,Completed,2025-09-05,2025-10-20,District Rural Development Agency,True,CTR0079,26.063435,85.211653,26.063435,85.211653,False,
PRJ00248,MP007,Bihar-22,Bihar,Bihar District 1,Drinking Water Supply,"Drinking Water Supply at Bihar District 1, Ward 14",307080.18,277392.88,307080.18,Completed,2025-03-26,2025-05-16,Panchayati Raj Engineering Department,True,CTR0092,25.953037,84.611589,25.953037,84.611589,False,
PRJ00249,MP007,Bihar-22,Bihar,Bihar District 1,Drinking Water Supply,"Drinking Water Supply at Bihar District 1, Ward 11",442677.91,413559.75,442677.91,Completed,2024-12-21,2025-03-06,Municipal Corporation Engineering Cell,True,CTR0106,25.672792,85.224185,25.672792,85.224185,False,
PRJ00250,MP007,Bihar-22,Bihar,Bihar District 1,Community Hall,"Community Hall at Bihar District 1, Ward 12",5090256.93,4385555.36,5090256.93,Completed,2024-10-03,2024-12-10,Panchayati Raj Engineering Department,True,CTR0058,25.070261,84.901086,25.070261,84.901086,False,
PRJ00251,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 21",219662.65,191571.72,219662.65,Work In Progress,2026-05-20,2026-06-20,Panchayati Raj Engineering Department,False,CTR0113,25.393831,85.020823,25.393831,85.020823,False,
PRJ00252,MP007,Bihar-22,Bihar,Bihar District 1,Library / Reading Room,"Library / Reading Room at Bihar District 1, Ward 14",977692.88,977450.54,977692.88,Payment Released,2025-07-27,2025-09-27,Municipal Corporation Engineering Cell,False,CTR0024,26.119736,85.271078,26.119736,85.271078,False,
PRJ00253,MP007,Bihar-22,Bihar,Bihar District 1,Sports Infrastructure,"Sports Infrastructure at Bihar District 1, Ward 17",2835520.02,2646819.36,2835520.02,Completed,2025-04-18,2025-05-16,District Rural Development Agency,True,CTR0117,25.4606,85.186247,25.318459,85.043505,True,phantom_work
PRJ00254,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 23",153729.12,137558.17,153729.12,Work In Progress,2025-07-02,2025-09-20,Zilla Parishad PWD Division,False,CTR0039,26.128815,84.811156,26.128815,84.811156,False,
PRJ00255,MP007,Bihar-22,Bihar,Bihar District 1,Street Lighting,"Street Lighting at Bihar District 1, Ward 10",781450.18,758316.51,781450.18,Completed,2026-04-24,2026-05-15,Panchayati Raj Engineering Department,True,CTR0045,25.549824,85.079563,25.549824,85.079563,False,
PRJ00256,MP007,Bihar-22,Bihar,Bihar District 1,Community Hall,"Community Hall at Bihar District 1, Ward 9",3381597.99,3244393.83,3381597.99,Payment Released,2025-04-03,2025-04-28,Panchayati Raj Engineering Department,False,CTR0033,25.918615,84.69069,25.918615,84.69069,False,
PRJ00257,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 3",282871.27,281030.4,282871.27,Work In Progress,2025-12-13,2026-01-16,Panchayati Raj Engineering Department,False,CTR0081,25.08275,84.568466,25.08275,84.568466,False,
PRJ00258,MP007,Bihar-22,Bihar,Bihar District 1,Sports Infrastructure,"Sports Infrastructure at Bihar District 1, Ward 5",1165634.28,1034421.08,1165634.28,Work In Progress,2025-06-23,2025-09-04,Panchayati Raj Engineering Department,False,CTR0083,25.32634,85.411278,25.32634,85.411278,False,
PRJ00259,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 11",97648.86,83493.88,97648.86,Payment Released,2026-03-17,2026-05-10,Panchayati Raj Engineering Department,False,CTR0085,25.075184,85.587725,25.075184,85.587725,False,
PRJ00260,MP007,Bihar-22,Bihar,Bihar District 1,Library / Reading Room,"Library / Reading Room at Bihar District 1, Ward 3",734424.28,723389.56,734424.28,Completed,2024-05-24,2024-07-20,District Rural Development Agency,True,CTR0006,25.026188,85.296548,25.026188,85.296548,False,
PRJ00261,MP007,Bihar-22,Bihar,Bihar District 1,Road Construction,"Road Construction at Bihar District 1, Ward 21",519483.09,461832.77,519483.09,Payment Released,2025-12-03,2026-02-05,Zilla Parishad PWD Division,False,CTR0083,25.876985,85.677557,25.876985,85.677557,False,
PRJ00262,MP007,Bihar-22,Bihar,Bihar District 1,Street Lighting,"Street Lighting at Bihar District 1, Ward 21",298573.22,274564.91,298573.22,Payment Released,2025-10-31,2025-11-23,Panchayati Raj Engineering Department,False,CTR0099,26.166406,85.230233,26.166406,85.230233,False,
PRJ00263,MP007,Bihar-22,Bihar,Bihar District 1,Road Construction,"Road Construction at Bihar District 1, Ward 10",935236.68,830158.16,935236.68,Completed,2025-06-14,2025-07-07,Panchayati Raj Engineering Department,True,CTR0064,26.020739,85.173467,26.020739,85.173467,False,
PRJ00264,MP007,Bihar-22,Bihar,Bihar District 1,School Building Repair,"School Building Repair at Bihar District 1, Ward 13",1501065.75,1435281.94,1501065.75,Payment Released,2025-07-11,2025-08-07,Cantonment Board Works Wing,False,CTR0062,25.09807,85.049961,25.09807,85.049961,True,duplicate_photo
PRJ00265,MP007,Bihar-22,Bihar,Bihar District 1,School Building Repair,"School Building Repair at Bihar District 1, Ward 6",1729955.67,1590424.94,1729955.67,Work In Progress,2025-05-31,2025-06-19,District Rural Development Agency,False,CTR0059,25.494119,85.281168,25.494119,85.281168,False,
PRJ00266,MP007,Bihar-22,Bihar,Bihar District 1,Public Toilet Complex,"Public Toilet Complex at Bihar District 1, Ward 11",688127.78,632310.97,688127.78,Payment Released,2026-02-15,2026-03-21,Municipal Corporation Engineering Cell,False,CTR0054,25.062348,85.443534,25.062348,85.443534,False,
PRJ00267,MP007,Bihar-22,Bihar,Bihar District 1,Library / Reading Room,"Library / Reading Room at Bihar District 1, Ward 11",414118.26,399008.21,414118.26,Payment Released,2024-07-08,2024-09-26,Cantonment Board Works Wing,False,CTR0019,25.623263,84.745858,25.623263,84.745858,False,
PRJ00268,MP007,Bihar-22,Bihar,Bihar District 1,Drainage System,"Drainage System at Bihar District 1, Ward 17",2644090.67,2426444.73,2644090.67,Sanctioned,2026-07-20,2026-08-08,Zilla Parishad PWD Division,False,CTR0052,26.181988,85.426415,26.181988,85.426415,False,
PRJ00269,MP007,Bihar-22,Bihar,Bihar District 1,Sports Infrastructure,"Sports Infrastructure at Bihar District 1, Ward 4",1838187.27,1710994.4,1838187.27,Payment Released,2025-01-05,2025-03-22,Public Works Department (PWD),False,CTR0014,25.597375,84.626568,25.597375,84.626568,False,
PRJ00270,MP007,Bihar-22,Bihar,Bihar District 1,School Building Repair,"School Building Repair at Bihar District 1, Ward 2",884756.01,880041.59,884756.01,Work In Progress,2025-10-30,2026-01-12,District Rural Development Agency,False,CTR0058,25.24452,85.127996,25.24452,85.127996,False,
PRJ00271,MP007,Bihar-22,Bihar,Bihar District 1,School Building Repair,"School Building Repair at Bihar District 1, Ward 8",1239668.06,1202090.15,1239668.06,Completed,2025-06-03,2025-06-29,Public Works Department (PWD),True,CTR0050,25.475165,85.598108,25.475165,85.598108,False,
PRJ00272,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 24",294180.56,287878.3,294180.56,Payment Released,2024-06-09,2024-07-04,Panchayati Raj Engineering Department,False,CTR0105,26.087372,84.832285,26.087372,84.832285,False,
PRJ00273,MP007,Bihar-22,Bihar,Bihar District 1,Drainage System,"Drainage System at Bihar District 1, Ward 17",805543.09,792733.71,805543.09,Payment Released,2025-07-12,2025-09-11,Public Works Department (PWD),False,CTR0025,25.785151,84.682525,25.785151,84.682525,False,
PRJ00274,MP007,Bihar-22,Bihar,Bihar District 1,Public Toilet Complex,"Public Toilet Complex at Bihar District 1, Ward 1",237637.29,230636.62,237637.29,Completed,2025-07-03,2025-09-29,Public Works Department (PWD),True,CTR0064,25.606248,85.660552,25.606248,85.660552,False,
PRJ00275,MP007,Bihar-22,Bihar,Bihar District 1,Community Hall,"Community Hall at Bihar District 1, Ward 7",4100290.62,4027671.05,4100290.62,Sanctioned,2026-06-24,2026-08-19,Municipal Corporation Engineering Cell,False,CTR0051,25.512988,84.69468,25.512988,84.69468,False,
PRJ00276,MP007,Bihar-22,Bihar,Bihar District 1,Library / Reading Room,"Library / Reading Room at Bihar District 1, Ward 16",885619.51,871041.07,885619.51,Sanctioned,2026-01-13,2026-04-02,Zilla Parishad PWD Division,False,CTR0046,25.095288,85.377796,25.095288,85.377796,False,
PRJ00277,MP007,Bihar-22,Bihar,Bihar District 1,Library / Reading Room,"Library / Reading Room at Bihar District 1, Ward 16",1264782.57,1209810.59,1264782.57,Completed,2024-09-22,2024-11-10,Cantonment Board Works Wing,True,CTR0113,25.37722,85.065401,25.37722,85.065401,False,
PRJ00278,MP007,Bihar-22,Bihar,Bihar District 1,School Building Repair,"School Building Repair at Bihar District 1, Ward 14",1089582.41,980930.56,1089582.41,Sanctioned,2024-10-16,2024-11-07,District Rural Development Agency,False,CTR0069,25.208514,85.354417,25.208514,85.354417,False,
PRJ00279,MP007,Bihar-22,Bihar,Bihar District 1,Borewell / Handpump,"Borewell / Handpump at Bihar District 1, Ward 25",144766.01,130606.62,144766.01,Payment Released,2025-01-25,2025-03-27,Zilla Parishad PWD Division,False,CTR0113,25.540421,85.398592,25.540421,85.398592,False,
PRJ00280,MP007,Bihar-22,Bihar,Bihar District 1,Drinking Water Supply,"Drinking Water Supply at Bihar District 1, Ward 19",1075224.88,989952.1,1075224.88,Sanctioned,2026-03-16,2026-05-20,District Rural Development Agency,False,CTR0047,26.174926,85.260971,26.174926,85.260971,False,
PRJ00281,MP008,Bihar-22,Bihar,Bihar District 3,Street Lighting,"Street Lighting at Bihar District 3, Ward 13",393828.01,338867.81,393828.01,Payment Released,2025-12-14,2026-03-01,District Rural Development Agency,False,CTR0047,25.209858,85.526885,25.209858,85.526885,False,
PRJ00282,MP008,Bihar-22,Bihar,Bihar District 3,Sports Infrastructure,"Sports Infrastructure at Bihar District 3, Ward 20",1265755.87,1207686.27,1265755.87,Payment Released,2026-02-23,2026-03-12,Zilla Parishad PWD Division,False,CTR0058,25.615186,84.866373,25.615186,84.866373,False,
PRJ00283,MP008,Bihar-22,Bihar,Bihar District 3,Library / Reading Room,"Library / Reading Room at Bihar District 3, Ward 13",595130.32,589622.82,595130.32,Work In Progress,2024-10-04,2024-12-07,District Rural Development Agency,False,CTR0016,26.045445,85.419278,26.045445,85.419278,False,
PRJ00284,MP008,Bihar-22,Bihar,Bihar District 3,Drainage System,"Drainage System at Bihar District 3, Ward 12",965788.86,918088.4,965788.86,Completed,2025-07-19,2025-09-06,Panchayati Raj Engineering Department,True,CTR0102,25.672529,84.633187,25.672529,84.633187,False,
PRJ00285,MP008,Bihar-22,Bihar,Bihar District 3,Borewell / Handpump,"Borewell / Handpump at Bihar District 3, Ward 17",227595.02,226803.0,227595.02,Work In Progress,2026-05-18,2026-07-27,Public Works Department (PWD),False,CTR0026,25.132865,85.007058,25.132865,85.007058,False,
PRJ00286,MP008,Bihar-22,Bihar,Bihar District 3,Road Construction,"Road Construction at Bihar District 3, Ward 11",4155921.52,4067613.39,4155921.52,Work In Progress,2024-10-20,2025-01-03,Cantonment Board Works Wing,False,CTR0006,25.350662,85.592924,25.350662,85.592924,False,
PRJ00287,MP008,Bihar-22,Bihar,Bihar District 3,Public Toilet Complex,"Public Toilet Complex at Bihar District 3, Ward 17",168906.88,161981.81,168906.88,Payment Released,2025-10-28,2026-01-16,Panchayati Raj Engineering Department,False,CTR0067,25.365701,85.495274,25.365701,85.495274,False,
PRJ00288,MP008,Bihar-22,Bihar,Bihar District 3,Borewell / Handpump,"Borewell / Handpump at Bihar District 3, Ward 6",110396.71,102790.9,110396.71,Payment Released,2026-07-01,2026-08-20,Zilla Parishad PWD Division,False,CTR0042,25.115841,84.790273,25.115841,84.790273,False,
PRJ00289,MP008,Bihar-22,Bihar,Bihar District 3,Drinking Water Supply,"Drinking Water Supply at Bihar District 3, Ward 19",962783.57,861292.39,962783.57,Work In Progress,2026-05-01,2026-07-22,Zilla Parishad PWD Division,False,CTR0079,25.359903,85.391832,25.359903,85.391832,False,
PRJ00290,MP008,Bihar-22,Bihar,Bihar District 3,Drainage System,"Drainage System at Bihar District 3, Ward 16",2593725.65,2435464.91,2593725.65,Work In Progress,2026-05-26,2026-06-27,Panchayati Raj Engineering Department,False,CTR0065,26.070763,84.722396,26.070763,84.722396,False,
PRJ00291,MP008,Bihar-22,Bihar,Bihar District 3,Library / Reading Room,"Library / Reading Room at Bihar District 3, Ward 22",1232951.76,1155794.91,1232951.76,Sanctioned,2026-04-24,2026-07-10,Zilla Parishad PWD Division,False,CTR0039,26.026835,85.125735,25.968789690205828,85.18230500993764,True,geo_mismatch
PRJ00292,MP008,Bihar-22,Bihar,Bihar District 3,Community Hall,"Community Hall at Bihar District 3, Ward 23",5530059.46,5388451.34,5530059.46,Completed,2025-05-26,2025-07-12,Cantonment Board Works Wing,True,CTR0054,26.054775,85.186127,26.054775,85.186127,False,
PRJ00293,MP008,Bihar-22,Bihar,Bihar District 3,Road Construction,"Road Construction at Bihar District 3, Ward 25",2125303.04,1998398.03,2125303.04,Completed,2025-02-28,2025-05-01,Cantonment Board Works Wing,True,CTR0077,26.071028,85.032056,26.071028,85.032056,False,
PRJ00294,MP008,Bihar-22,Bihar,Bihar District 3,Library / Reading Room,"Library / Reading Room at Bihar District 3, Ward 19",1113423.91,1031982.03,1113423.91,Payment Released,2025-06-02,2025-08-04,District Rural Development Agency,False,CTR0074,25.12507,84.961414,25.12507,84.961414,False,
PRJ00295,MP008,Bihar-22,Bihar,Bihar District 3,Public Toilet Complex,"Public Toilet Complex at Bihar District 3, Ward 20",1148057.61,1103902.26,1148057.61,Sanctioned,2026-05-31,2026-07-04,Cantonment Board Works Wing,False,CTR0022,25.607519,85.260925,25.607519,85.260925,False,
PRJ00296,MP008,Bihar-22,Bihar,Bihar District 3,Drinking Water Supply,"Drinking Water Supply at Bihar District 3, Ward 2",1096076.81,939170.46,1096076.81,Completed,2024-06-04,2024-07-13,Municipal Corporation Engineering Cell,True,CTR0019,25.168029,84.832177,25.168029,84.832177,False,
PRJ00297,MP008,Bihar-22,Bihar,Bihar District 3,Library / Reading Room,"Library / Reading Room at Bihar District 3, Ward 15",454927.03,405841.53,454927.03,Sanctioned,2026-08-10,2026-08-25,District Rural Development Agency,False,CTR0090,25.248391,85.119887,25.248391,85.119887,False,
PRJ00298,MP008,Bihar-22,Bihar,Bihar District 3,Drainage System,"Drainage System at Bihar District 3, Ward 7",852439.23,738386.15,852439.23,Payment Released,2025-06-08,2025-07-15,Cantonment Board Works Wing,False,CTR0014,25.963103,85.186458,25.963103,85.186458,True,duplicate_photo
PRJ00299,MP008,Bihar-22,Bihar,Bihar District 3,Drinking Water Supply,"Drinking Water Supply at Bihar District 3, Ward 5",1173433.09,1106031.07,1173433.09,Completed,2024-08-08,2024-09-29,Cantonment Board Works Wing,True,CTR0017,25.414268,85.108894,25.533765178729936,85.04968976160714,True,geo_mismatch
PRJ00300,MP008,Bihar-22,Bihar,Bihar District 3,Sports Infrastructure,"Sports Infrastructure at Bihar District 3, Ward 16",1623185.83,1479782.5,1623185.83,Completed,2025-03-23,2025-04-30,Cantonment Board Works Wing,True,CTR0027,26.089133,85.356839,26.089133,85.356839,False,
PRJ00301,MP008,Bihar-22,Bihar,Bihar District 3,Sports Infrastructure,"Sports Infrastructure at Bihar District 3, Ward 15",3360687.59,2857373.42,3360687.59,Work In Progress,2026-01-16,2026-02-04,Municipal Corporation Engineering Cell,False,CTR0049,25.763682,84.561362,25.763682,84.561362,False,
PRJ00302,MP008,Bihar-22,Bihar,Bihar District 3,Sports Infrastructure,"Sports Infrastructure at Bihar District 3, Ward 25",2271765.9,1970014.39,2271765.9,Payment Released,2025-10-14,2025-11-07,Cantonment Board Works Wing,False,CTR0044,25.460607,85.047484,25.460607,85.047484,False,
PRJ00303,MP008,Bihar-22,Bihar,Bihar District 3,School Building Repair,"School Building Repair at Bihar District 3, Ward 9",954106.02,821152.45,954106.02,Completed,2024-06-02,2024-08-06,Municipal Corporation Engineering Cell,True,CTR0079,25.096216,84.925726,25.096216,84.925726,False,
PRJ00304,MP008,Bihar-22,Bihar,Bihar District 3,Sports Infrastructure,"Sports Infrastructure at Bihar District 3, Ward 25",1521951.97,1295972.05,1521951.97,Payment Released,2025-02-05,2025-04-26,Zilla Parishad PWD Division,False,CTR0039,25.763315,85.595944,25.763315,85.595944,False,
PRJ00305,MP008,Bihar-22,Bihar,Bihar District 3,School Building Repair,"School Building Repair at Bihar District 3, Ward 16",1503151.5,1481157.38,1503151.5,Work In Progress,2026-04-23,2026-05-08,Cantonment Board Works Wing,False,CTR0091,25.079733,85.140761,25.079733,85.140761,False,
PRJ00306,MP008,Bihar-22,Bihar,Bihar District 3,Drainage System,"Drainage System at Bihar District 3, Ward 9",1410594.22,1301837.51,1410594.22,Work In Progress,2026-03-28,2026-05-23,Cantonment Board Works Wing,False,CTR0062,25.69264,84.552487,25.69264,84.552487,False,
PRJ00307,MP008,Bihar-22,Bihar,Bihar District 3,School Building Repair,"School Building Repair at Bihar District 3, Ward 13",817701.24,775053.0,817701.24,Payment Released,2025-07-17,2025-09-20,Panchayati Raj Engineering Department,False,CTR0016,26.014725,85.330991,26.014725,85.330991,False,
PRJ00308,MP008,Bihar-22,Bihar,Bihar District 3,Drinking Water Supply,"Drinking Water Supply at Bihar District 3, Ward 10",905838.58,877166.78,905838.58,Payment Released,2024-08-23,2024-11-10,Municipal Corporation Engineering Cell,False,CTR0105,25.535703,85.458056,25.535703,85.458056,False,
PRJ00309,MP008,Bihar-22,Bihar,Bihar District 3,Road Construction,"Road Construction at Bihar District 3, Ward 12",4149867.99,3725876.07,4149867.99,Completed,2025-02-28,2025-05-06,District Rural Development Agency,True,CTR0037,25.698638,84.945407,25.698638,84.945407,False,
PRJ00310,MP008,Bihar-22,Bihar,Bihar District 3,Public Toilet Complex,"Public Toilet Complex at Bihar District 3, Ward 7",543280.53,496873.18,543280.53,Work In Progress,2025-10-31,2025-11-26,Public Works Department (PWD),False,CTR0084,25.171113,85.568116,25.171113,85.568116,False,
PRJ00311,MP008,Bihar-22,Bihar,Bihar District 3,Street Lighting,"Street Lighting at Bihar District 3, Ward 23",169085.82,159876.62,169085.82,Payment Released,2025-08-29,2025-10-06,Panchayati Raj Engineering Department,False,CTR0106,25.408725,84.586054,25.408725,84.586054,False,
PRJ00312,MP008,Bihar-22,Bihar,Bihar District 3,School Building Repair,"School Building Repair at Bihar District 3, Ward 19",1418817.15,1283588.35,1418817.15,Work In Progress,2025-06-26,2025-08-31,Cantonment Board Works Wing,False,CTR0018,25.261471,85.685643,25.261471,85.685643,False,
PRJ00313,MP008,Bihar-22,Bihar,Bihar District 3,Street Lighting,"Street Lighting at Bihar District 3, Ward 8",255414.73,218157.51,255414.73,Sanctioned,2025-10-09,2025-10-26,Panchayati Raj Engineering Department,False,CTR0032,25.606546,85.656821,25.606546,85.656821,False,
PRJ00314,MP008,Bihar-22,Bihar,Bihar District 3,Street Lighting,"Street Lighting at Bihar District 3, Ward 23",173216.84,151392.17,173216.84,Work In Progress,2025-07-23,2025-08-28,Zilla Parishad PWD Division,False,CTR0007,25.028023,85.407456,25.028023,85.407456,False,
PRJ00315,MP008,Bihar-22,Bihar,Bihar District 3,Public Toilet Complex,"Public Toilet Complex at Bihar District 3, Ward 1",2923131.64,3015172.51,2923131.64,Completed,2024-08-10,2024-11-06,Municipal Corporation Engineering Cell,True,CTR0004,26.066084,85.223531,26.066084,85.223531,True,cost_inflation
PRJ00316,MP008,Bihar-22,Bihar,Bihar District 3,Sports Infrastructure,"Sports Infrastructure at Bihar District 3, Ward 16",1455200.02,1270566.8,1455200.02,Payment Released,2024-10-12,2024-12-28,Cantonment Board Works Wing,False,CTR0119,25.664454,85.150046,25.664454,85.150046,False,
PRJ00317,MP008,Bihar-22,Bihar,Bihar District 3,Public Toilet Complex,"Public Toilet Complex at Bihar District 3, Ward 11",612463.42,544418.88,612463.42,Work In Progress,2025-10-25,2025-11-29,Zilla Parishad PWD Division,False,CTR0084,25.233549,84.569177,25.233549,84.569177,False,
